cc,pc,place_name,admin_name1,admin_code1,admin_name2,admin_code2,admin_name3,admin_code3,latitude,longitude,accuracy
JP,969-4514,Hosaka Hosaka,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.6313,139.6269,1
JP,969-4515,Shimonojiri,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.6309,139.6239,4
JP,969-4621,Shingo Fuji,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.662,139.7135,1
JP,969-4622,Shingo Sasagawa,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.662,139.7135,1
JP,969-4623,Shingo Toyosu,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.662,139.7135,1
JP,969-4624,Shingo Mikawa,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.662,139.7135,1
JP,969-4731,Okugawa Iine,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.7573,139.7167,4
JP,969-4732,Okugawa Iizawa,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.7099,139.6692,1
JP,969-4733,Okugawa Otsunagi,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.7099,139.6692,1
JP,969-4734,Okugawa Iisato,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.7099,139.6692,1
JP,969-4735,Okugawa Toyoshima,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.6737,139.648,4
JP,969-4736,Okugawa Motoshima,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.7099,139.6692,1
JP,969-4737,Okugawa Kayane,Fukushima Ken,8,Yama Gun,1848677.0,Nishiaizu Machi,7405.0,37.6988,139.6429,4
JP,967-0000,Ikanikeisaiganaibaai,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.2319,139.988,1
JP,967-0001,Nagano,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.1851,139.5151,4
JP,967-0002,Tabe,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.2319,139.988,1
JP,967-0003,Mizunashi,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.1824,139.8006,4
JP,967-0004,Tajima,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.2037,139.7752,4
JP,967-0005,Nakaarai,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.1851,139.5151,4
JP,967-0006,Nagata,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.2319,139.988,1
JP,967-0007,Tando,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.2319,139.988,1
JP,967-0011,Kuryuzawa,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.157,139.7988,4
JP,967-0012,Kawashima,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.1245,139.751,1
JP,967-0013,Sekimoto,Fukushima Ken,8,Minamiaizu Gun,1857203.0,Minamiaizu Machi,7368.0,37.1245,139.751,1
